order,lon,lat,latlon,notes,location,spininital,spinfinish,runs
1475,-82.75,47.75,lat47.75lon-82.75,0.5-degree,,,,
1476,-81.75,47.75,lat47.75lon-81.75,0.5-degree,,,,
1477,-80.75,47.75,lat47.75lon-80.75,0.5-degree,,,,
1478,-78.75,47.75,lat47.75lon-78.75,0.5-degree,,,,
1479,-77.75,47.75,lat47.75lon-77.75,0.5-degree,,,,
1480,-76.75,47.75,lat47.75lon-76.75,0.5-degree,,,,
1481,-75.75,47.75,lat47.75lon-75.75,0.5-degree,,,,
1482,-73.75,47.75,lat47.75lon-73.75,0.5-degree,,,,
1483,-72.75,47.75,lat47.75lon-72.75,0.5-degree,,,,
1484,-71.75,47.75,lat47.75lon-71.75,0.5-degree,,,,
1485,-70.75,47.75,lat47.75lon-70.75,0.5-degree,,,,
1486,-68.75,47.75,lat47.75lon-68.75,0.5-degree,,,,
1487,-67.75,47.75,lat47.75lon-67.75,0.5-degree,,,,
1488,-66.75,47.75,lat47.75lon-66.75,0.5-degree,,,,
1489,-65.75,47.75,lat47.75lon-65.75,0.5-degree,,,,
1490,-99.75,48.25,lat48.25lon-99.75,0.5-degree,,,,
1491,-99.25,48.25,lat48.25lon-99.25,0.5-degree,,,,
1492,-98.25,48.25,lat48.25lon-98.25,0.5-degree,,,,
1493,-97.25,48.25,lat48.25lon-97.25,0.5-degree,,,,
1494,-96.75,48.25,lat48.25lon-96.75,0.5-degree,,,,
1495,-96.25,48.25,lat48.25lon-96.25,0.5-degree,,,,
1496,-95.25,48.25,lat48.25lon-95.25,0.5-degree,,,,
1497,-94.75,48.25,lat48.25lon-94.75,0.5-degree,,,,
1498,-94.25,48.25,lat48.25lon-94.25,0.5-degree,,,,
1499,-93.75,48.25,lat48.25lon-93.75,0.5-degree,,,,
1500,-93.25,48.25,lat48.25lon-93.25,0.5-degree,,,,
1501,-92.25,48.25,lat48.25lon-92.25,0.5-degree,,,,
1502,-91.25,48.25,lat48.25lon-91.25,0.5-degree,,,,
1503,-90.75,48.25,lat48.25lon-90.75,0.5-degree,,,,
1504,-90.25,48.25,lat48.25lon-90.25,0.5-degree,,,,
1505,-84.75,48.25,lat48.25lon-84.75,0.5-degree,,,,
1506,-84.25,48.25,lat48.25lon-84.25,0.5-degree,,,,
1507,-83.25,48.25,lat48.25lon-83.25,0.5-degree,,,,
1508,-82.25,48.25,lat48.25lon-82.25,0.5-degree,,,,
1509,-81.75,48.25,lat48.25lon-81.75,0.5-degree,,,,
1510,-81.25,48.25,lat48.25lon-81.25,0.5-degree,,,,
1511,-80.25,48.25,lat48.25lon-80.25,0.5-degree,,,,
1512,-79.75,48.25,lat48.25lon-79.75,0.5-degree,,,,
1513,-79.25,48.25,lat48.25lon-79.25,0.5-degree,,,,
1514,-78.75,48.25,lat48.25lon-78.75,0.5-degree,,,,
1515,-78.25,48.25,lat48.25lon-78.25,0.5-degree,,,,
1516,-77.25,48.25,lat48.25lon-77.25,0.5-degree,,,,
1517,-76.25,48.25,lat48.25lon-76.25,0.5-degree,,,,
1518,-75.75,48.25,lat48.25lon-75.75,0.5-degree,,,,
1519,-75.25,48.25,lat48.25lon-75.25,0.5-degree,,,,
1520,-74.75,48.25,lat48.25lon-74.75,0.5-degree,,,,
1521,-74.25,48.25,lat48.25lon-74.25,0.5-degree,,,,
1522,-73.25,48.25,lat48.25lon-73.25,0.5-degree,,,,
1523,-72.75,48.25,lat48.25lon-72.75,0.5-degree,,,,
1524,-72.25,48.25,lat48.25lon-72.25,0.5-degree,,,,
1525,-71.25,48.25,lat48.25lon-71.25,0.5-degree,,,,
1526,-70.25,48.25,lat48.25lon-70.25,0.5-degree,,,,
1527,-69.75,48.25,lat48.25lon-69.75,0.5-degree,,,,
1528,-68.25,48.25,lat48.25lon-68.25,0.5-degree,,,,
1529,-67.25,48.25,lat48.25lon-67.25,0.5-degree,,,,
1530,-66.75,48.25,lat48.25lon-66.75,0.5-degree,,,,
1531,-66.25,48.25,lat48.25lon-66.25,0.5-degree,,,,
1532,-65.25,48.25,lat48.25lon-65.25,0.5-degree,,,,
1533,-98.75,48.75,lat48.75lon-98.75,0.5-degree,,,,
1534,-97.75,48.75,lat48.75lon-97.75,0.5-degree,,,,
1535,-95.75,48.75,lat48.75lon-95.75,0.5-degree,,,,
1536,-94.75,48.75,lat48.75lon-94.75,0.5-degree,,,,
1537,-92.75,48.75,lat48.75lon-92.75,0.5-degree,,,,
1538,-91.75,48.75,lat48.75lon-91.75,0.5-degree,,,,
1539,-89.75,48.75,lat48.75lon-89.75,0.5-degree,,,,
1540,-85.75,48.75,lat48.75lon-85.75,0.5-degree,,,,
1541,-83.75,48.75,lat48.75lon-83.75,0.5-degree,,,,
1542,-82.75,48.75,lat48.75lon-82.75,0.5-degree,,,,
1543,-80.75,48.75,lat48.75lon-80.75,0.5-degree,,,,
1544,-79.75,48.75,lat48.75lon-79.75,0.5-degree,,,,
1545,-77.75,48.75,lat48.75lon-77.75,0.5-degree,,,,
1546,-76.75,48.75,lat48.75lon-76.75,0.5-degree,,,,
1547,-74.75,48.75,lat48.75lon-74.75,0.5-degree,,,,
1548,-73.75,48.75,lat48.75lon-73.75,0.5-degree,,,,
1549,-71.75,48.75,lat48.75lon-71.75,0.5-degree,,,,
1550,-70.75,48.75,lat48.75lon-70.75,0.5-degree,,,,
1551,-67.75,48.75,lat48.75lon-67.75,0.5-degree,,,,
1552,-65.75,48.75,lat48.75lon-65.75,0.5-degree,,,,
1553,-64.75,48.75,lat48.75lon-64.75,0.5-degree,,,,
1554,-99.75,49.25,lat49.25lon-99.75,0.5-degree,,,,
1555,-99.25,49.25,lat49.25lon-99.25,0.5-degree,,,,
1556,-98.25,49.25,lat49.25lon-98.25,0.5-degree,,,,
1557,-97.25,49.25,lat49.25lon-97.25,0.5-degree,,,,
1558,-96.75,49.25,lat49.25lon-96.75,0.5-degree,,,,
1559,-96.25,49.25,lat49.25lon-96.25,0.5-degree,,,,
1560,-95.25,49.25,lat49.25lon-95.25,0.5-degree,,,,
1561,-94.25,49.25,lat49.25lon-94.25,0.5-degree,,,,
1562,-93.75,49.25,lat49.25lon-93.75,0.5-degree,,,,
1563,-93.25,49.25,lat49.25lon-93.25,0.5-degree,,,,
1564,-92.25,49.25,lat49.25lon-92.25,0.5-degree,,,,
1565,-91.25,49.25,lat49.25lon-91.25,0.5-degree,,,,
1566,-90.75,49.25,lat49.25lon-90.75,0.5-degree,,,,
1567,-90.25,49.25,lat49.25lon-90.25,0.5-degree,,,,
1568,-89.75,49.25,lat49.25lon-89.75,0.5-degree,,,,
1569,-89.25,49.25,lat49.25lon-89.25,0.5-degree,,,,
1570,-88.25,49.25,lat49.25lon-88.25,0.5-degree,,,,
1571,-87.25,49.25,lat49.25lon-87.25,0.5-degree,,,,
1572,-86.25,49.25,lat49.25lon-86.25,0.5-degree,,,,
1573,-85.25,49.25,lat49.25lon-85.25,0.5-degree,,,,
1574,-84.75,49.25,lat49.25lon-84.75,0.5-degree,,,,
1575,-84.25,49.25,lat49.25lon-84.25,0.5-degree,,,,
1576,-83.25,49.25,lat49.25lon-83.25,0.5-degree,,,,
1577,-82.25,49.25,lat49.25lon-82.25,0.5-degree,,,,
1578,-81.75,49.25,lat49.25lon-81.75,0.5-degree,,,,
1579,-81.25,49.25,lat49.25lon-81.25,0.5-degree,,,,
1580,-80.25,49.25,lat49.25lon-80.25,0.5-degree,,,,
1581,-79.75,49.25,lat49.25lon-79.75,0.5-degree,,,,
1582,-79.25,49.25,lat49.25lon-79.25,0.5-degree,,,,
1583,-78.75,49.25,lat49.25lon-78.75,0.5-degree,,,,
1584,-78.25,49.25,lat49.25lon-78.25,0.5-degree,,,,
1585,-77.25,49.25,lat49.25lon-77.25,0.5-degree,,,,
1586,-76.25,49.25,lat49.25lon-76.25,0.5-degree,,,,
1587,-75.75,49.25,lat49.25lon-75.75,0.5-degree,,,,
1588,-75.25,49.25,lat49.25lon-75.25,0.5-degree,,,,
1589,-74.75,49.25,lat49.25lon-74.75,0.5-degree,,,,
1590,-74.25,49.25,lat49.25lon-74.25,0.5-degree,,,,
1591,-73.25,49.25,lat49.25lon-73.25,0.5-degree,,,,
1592,-72.75,49.25,lat49.25lon-72.75,0.5-degree,,,,
1593,-72.25,49.25,lat49.25lon-72.25,0.5-degree,,,,
1594,-71.25,49.25,lat49.25lon-71.25,0.5-degree,,,,
1595,-70.25,49.25,lat49.25lon-70.25,0.5-degree,,,,
1596,-69.75,49.25,lat49.25lon-69.75,0.5-degree,,,,
1597,-69.25,49.25,lat49.25lon-69.25,0.5-degree,,,,
1598,-65.25,49.25,lat49.25lon-65.25,0.5-degree,,,,
1599,-99.75,49.75,lat49.75lon-99.75,0.5-degree,,,,
1600,-98.75,49.75,lat49.75lon-98.75,0.5-degree,,,,
1601,-97.75,49.75,lat49.75lon-97.75,0.5-degree,,,,
1602,-96.75,49.75,lat49.75lon-96.75,0.5-degree,,,,
1603,-95.75,49.75,lat49.75lon-95.75,0.5-degree,,,,
1604,-93.75,49.75,lat49.75lon-93.75,0.5-degree,,,,
1605,-92.75,49.75,lat49.75lon-92.75,0.5-degree,,,,
1606,-91.75,49.75,lat49.75lon-91.75,0.5-degree,,,,
1607,-90.75,49.75,lat49.75lon-90.75,0.5-degree,,,,
1608,-89.75,49.75,lat49.75lon-89.75,0.5-degree,,,,
1609,-87.75,49.75,lat49.75lon-87.75,0.5-degree,,,,
1610,-86.75,49.75,lat49.75lon-86.75,0.5-degree,,,,
1611,-85.75,49.75,lat49.75lon-85.75,0.5-degree,,,,
1612,-84.75,49.75,lat49.75lon-84.75,0.5-degree,,,,
1613,-83.75,49.75,lat49.75lon-83.75,0.5-degree,,,,
1614,-82.75,49.75,lat49.75lon-82.75,0.5-degree,,,,
1615,-81.75,49.75,lat49.75lon-81.75,0.5-degree,,,,
1616,-80.75,49.75,lat49.75lon-80.75,0.5-degree,,,,
1617,-79.75,49.75,lat49.75lon-79.75,0.5-degree,,,,
1618,-78.75,49.75,lat49.75lon-78.75,0.5-degree,,,,
1619,-77.75,49.75,lat49.75lon-77.75,0.5-degree,,,,
1620,-76.75,49.75,lat49.75lon-76.75,0.5-degree,,,,
1621,-75.75,49.75,lat49.75lon-75.75,0.5-degree,,,,
1622,-74.75,49.75,lat49.75lon-74.75,0.5-degree,,,,
1623,-73.75,49.75,lat49.75lon-73.75,0.5-degree,,,,
1624,-72.75,49.75,lat49.75lon-72.75,0.5-degree,,,,
1625,-71.75,49.75,lat49.75lon-71.75,0.5-degree,,,,
1626,-70.75,49.75,lat49.75lon-70.75,0.5-degree,,,,
1627,-69.75,49.75,lat49.75lon-69.75,0.5-degree,,,,
1628,-68.75,49.75,lat49.75lon-68.75,0.5-degree,,,,
1629,-67.75,49.75,lat49.75lon-67.75,0.5-degree,,,,
