
         1


    45.25    152.00    152.00    152.00    152.00    152.00    152.00    152.00    152.00    152.00    152.00    152.00    152.00    152.00    152.00    152.00    185.98    168.39    152.00    152.00    152.00    152.00    152.00    152.00    152.00    152.00      0.00      0.00      0.00      0.00    157.39    153.79    171.10    152.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00    100.00    100.00    100.00    100.00    100.00    100.00    102.90    102.06    100.00    143.96    100.00    140.85     86.67     86.47    134.04    161.51    165.00     72.29     53.00    165.00    111.66    119.95    156.93    156.37     79.81      0.00      0.00      0.00      0.00    107.00    103.33    100.00    100.00    107.00      0.00      0.00      0.00      0.00      0.00
    44.75    152.00    152.00    152.00    152.00    152.00    152.00    152.00    152.00    152.00    152.00    152.00    152.00    152.00    152.00    152.00    152.00    152.00    152.00    152.00    152.00    141.08    152.00    152.00    152.00    152.00      0.00      0.00      0.00    157.28    154.20    179.06    196.18    166.32      0.00      0.00      0.00      0.00    119.30    100.00      0.00    102.65    100.00    100.00    101.25    100.00    100.00    100.00    105.02    128.71    183.00    183.00    166.70    135.01    175.43     74.16    119.37    229.00    165.00    145.71    165.00    165.00    165.00    165.00    165.00      0.00      0.00      0.00      0.00      0.00    107.00    103.74      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
    44.25    144.13    152.00    152.00    152.00    152.00    152.00    152.00    152.00    152.00    152.00    152.00    152.00    152.00    154.75    196.31    193.36    161.52    152.00    152.00    152.00    152.00    152.00    152.00    152.00    152.00      0.00      0.00    171.14    160.15    154.52    153.74    158.72    152.00      0.00      0.00      0.00      0.00    101.39    100.00    105.75    102.98    100.00      0.00      0.00      0.00      0.00      0.00    118.74     65.51    126.59    171.46    165.00    165.00    118.31    164.15    155.00    165.00    165.00    165.00    114.94      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    107.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
    43.75    152.00    141.74    152.00    152.00    152.00    152.00    152.00    152.00    152.00    152.00    152.00    152.00    152.00    154.79    163.30    169.99    160.08    152.00    158.09    152.00    152.00    152.00    152.00    152.00      0.00      0.00      0.00    154.20    158.92    152.00    152.00    152.00    142.27    152.00    152.00      0.00    100.00    100.00    103.39    100.00    100.00    104.56      0.00      0.00      0.00      0.00      0.00    118.21    170.91    167.73    192.66    165.00    165.00     59.05    163.92    133.78    165.00    165.00    174.79      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
    43.25    152.00    152.00    152.00    152.00    152.00    152.00    152.00    162.75    154.73    152.00    152.00    152.00    152.00    169.61    188.20    181.06    185.00    179.91    163.20    152.00    143.83    152.00    152.00    152.00      0.00      0.00      0.00    152.00    152.00    212.46    152.00    152.00    152.00    152.00    152.00      0.00    108.81    101.43    100.00    100.00      0.00    152.28    165.92    172.24    169.08    172.23    169.08    179.96    170.98    164.15    171.40    167.00    141.03    150.32     93.33    156.96    165.00    165.00    110.92      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
    42.75    152.00    152.00    152.00    152.00    152.00    152.00    152.00    162.21    165.00    154.73    152.00    152.00    152.00    163.61    193.00    186.62    190.69    185.00    185.00    129.60     99.00    152.00    152.00    152.00    116.34      0.00      0.00    136.31    190.78    168.19    152.00    158.38    191.70    191.93    152.00    113.95      0.00      0.00      0.00      0.00      0.00    146.41    100.71    125.69    176.87    182.37    179.95    128.91    128.91    139.67    106.86    144.59    170.30    175.25     91.44    166.85    165.00    159.03    104.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
    42.25    152.00    152.00    152.00    152.00    152.00    152.00    152.00    152.00    155.51    157.66    152.00    152.00    152.00    152.00    152.00    188.48    193.00    187.75    185.00    155.38    148.50    159.38    156.36    156.30    136.47      0.00      0.00    208.39    152.00    152.00    152.00    238.71    152.00    152.00      0.00      0.00      0.00      0.00      0.00      0.00    114.81     99.32    120.43     81.68    165.37     95.08     86.00     86.00    128.61    112.66     87.36     78.60     87.62    162.49    151.45    162.34    131.56    159.75    125.56      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
    41.75    152.00    152.00    152.00    152.00    152.00    152.00    152.00    152.00    152.00    159.47    156.47    152.00    152.00    152.00    152.00    172.78    185.16    156.86    156.80    176.11    156.97    152.00    152.00    152.00    152.00      0.00    189.70    222.94    169.33    205.62    152.00    152.00    152.00    152.00      0.00      0.00      0.00    181.44    152.00    177.88    173.66    135.78    152.00    143.93    113.99    113.11    167.72    167.72    161.65    132.51    156.57    102.36    111.36    160.50    160.48    165.00    165.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
    41.25    152.00    152.00    152.00    152.00    158.61    152.00    152.00    152.00    152.00    173.00    155.30    152.00    163.39    152.00    165.86    203.00    195.52    178.75    152.00    152.00    152.00    152.00    152.00    152.00    172.21    152.00    190.76    254.00    164.81    152.00    152.00    160.40    152.00    152.00    152.00    152.00    152.00    152.00    175.07    229.00    118.29    113.85    113.85    147.16    152.00    152.00    113.97    113.72    128.50    154.30    161.56    167.10    141.92    165.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
    40.75    152.00    152.00    152.00    152.00    152.00    152.00    152.00    152.00    152.00    165.35    152.00    166.81    160.18    156.64    152.00    152.00    152.00    165.90    152.00    152.00    152.00    152.00    152.00    152.00    152.00    152.00    173.18    164.78    152.00    152.00    152.00    152.00    152.00    152.00    165.19    161.42    164.40    154.93    127.48     96.13     89.18     86.00     86.00    165.87    152.00    125.77    120.37    152.00    118.08    151.89    134.27     15.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
